Mass-to-Charge,Count
27.3427,65
27.3627,80
27.3827,80
27.4027,76
27.4227,618
27.4427,6474
27.4627,13229
27.4827,4376
27.5027,1215
27.5227,478
27.5427,277
27.5627,191
27.5827,173
27.6027,103
27.6227,110
27.6427,73
27.6627,68
27.6827,71
27.7027,64
27.7227,73
27.7427,52
27.7627,50
27.7827,49
27.8027,42
27.8227,55
27.8427,29
27.8627,48
27.8827,45
27.9027,41
27.9227,41
27.9427,201
27.9627,436
27.9827,459
28.0027,202
28.0227,60
28.0427,54
28.0627,45
28.0827,33
28.1027,40
28.1227,32
28.1427,29
28.1627,28
28.1827,34
28.2027,36
28.2227,31
28.2427,31
28.2627,30
28.2827,24
28.3027,26
28.3227,32
28.3427,36
28.3627,19
28.3827,12
28.4027,33
28.4227,20
28.4427,22
28.4627,27
28.4827,25
28.5027,29
28.5227,14
28.5427,17
28.5627,19
28.5827,18
28.6027,18
28.6227,28
28.6427,39
28.6627,25
28.6827,18
28.7027,20
28.7227,20
28.7427,15
28.7627,16
28.7827,20
28.8027,13
28.8227,19
28.8427,11
28.8627,17
28.8827,22
28.9027,17
28.9227,15
28.9427,22
28.9627,23
28.9827,43
29.0027,39
29.0227,22
29.0427,23
29.0627,15
29.0827,13
29.1027,18
29.1227,15
29.1427,8
29.1627,8
29.1827,18
29.2027,18
29.2227,7
29.2427,15
29.2627,15
29.2827,12
29.3027,12
29.3227,16
29.3427,15
29.3627,12
29.3827,18
29.4027,16
29.4227,16
29.4427,14
29.4627,11
29.4827,18
29.5027,9
29.5227,11
29.5427,10
29.5627,17
29.5827,9
29.6027,12
29.6227,15
29.6427,11
29.6627,10
29.6827,14
29.7027,10
29.7227,7
29.7427,14
29.7627,11
29.7827,12
29.8027,14
29.8227,13
29.8427,11
29.8627,12
29.8827,12
29.9027,16
29.9227,13
29.9427,51
29.9627,348
29.9827,769
30.0027,388
30.0227,95
30.0427,35
30.0627,31
30.0827,20
30.1027,14
30.1227,23
30.1427,14
30.1627,15
30.1827,14
30.2027,9
30.2227,8
30.2427,12
30.2627,13
30.2827,13
30.3027,9
30.3227,13
30.3427,15
30.3627,11
30.3827,4
30.4027,5
30.4227,10
30.4427,11
30.4627,31
30.4827,30
30.5027,45
30.5227,14
30.5427,15
30.5627,6
30.5827,7
30.6027,6
30.6227,8
30.6427,8
30.6627,9
30.6827,14
30.7027,13
30.7227,4
30.7427,8
30.7627,9
30.7827,4
30.8027,7
30.8227,7
30.8427,5
30.8627,8
30.8827,15
30.9027,4
30.9227,6
30.9427,10
30.9627,18
30.9827,23
31.0027,20
31.0227,15
31.0427,11
31.0627,2
31.0827,11
31.1027,10
31.1227,5
31.1427,7
31.1627,10
31.1827,7
31.2027,2
31.2227,5
31.2427,5
31.2627,4
31.2827,9
31.3027,16
31.3227,10
31.3427,9
31.3627,8
31.3827,8
